food_category,food_department,food_family,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
Snack Foods,Snack Foods,Food,9.44,3.3984,4.0,Dollar Cutters,M,M,4.0,Partial College,Bronze,Clerical,N,2.0,$30K - $50K,2.0,Fort West,2.36,6.68,4.67,0.0,1.0,7.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Sunday Paper, Radio",136.74
Starchy Foods,Starchy Foods,Food,2.88,1.0368,3.0,Cash Register Lottery,S,M,4.0,High School Degree,Bronze,Manual,N,3.0,$30K - $50K,0.0,Jardon,0.96,17.7,15.7,1.0,1.0,9.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,In-Store Coupon,95.78
Jams and Jellies,Baking Goods,Food,10.16,4.8768,4.0,High Roller Savings,M,F,0.0,Partial High School,Normal,Skilled Manual,N,0.0,$10K - $30K,0.0,CDR,2.54,21.0,19.0,1.0,1.0,25.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,101.84
Vegetables,Frozen Foods,Food,4.44,1.9536,2.0,Shelf Clearing Days,S,M,3.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,0.0,Carrington,2.22,16.1,14.1,1.0,0.0,29.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,99.77
Paper Products,Household,Non-Consumable,6.45,2.451,3.0,Cash Register Lottery,S,F,1.0,High School Degree,Bronze,Skilled Manual,N,4.0,$30K - $50K,0.0,High Quality,2.15,7.88,4.88,1.0,0.0,4.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio",123.61
Snack Foods,Snack Foods,Food,4.26,1.4484,3.0,Save-It Sale,M,F,4.0,High School Degree,Golden,Professional,Y,3.0,$150K +,3.0,Nationeel,1.42,7.31,5.3,1.0,1.0,8.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",89.37
Dairy,Dairy,Food,9.66,4.5402,3.0,Dollar Days,M,F,1.0,High School Degree,Bronze,Manual,Y,4.0,$30K - $50K,0.0,Booker,3.22,21.7,19.7,0.0,1.0,5.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Daily Paper, Radio",138.81
Jams and Jellies,Baking Goods,Food,13.32,4.9284,4.0,Price Savers,M,M,3.0,Partial High School,Normal,Manual,N,1.0,$10K - $30K,0.0,Plato,3.33,12.6,11.6,1.0,0.0,25.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Cash Register Handout,128.2
Dairy,Dairy,Drink,3.4,1.224,4.0,Price Slashers,S,M,1.0,Graduate Degree,Silver,Professional,Y,2.0,$150K +,0.0,Even Better,0.85,14.8,12.8,1.0,0.0,6.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Sunday Paper,67.2
Breakfast Foods,Breakfast Foods,Food,5.28,2.0064,2.0,Money Savers,S,M,5.0,High School Degree,Bronze,Manual,N,4.0,$30K - $50K,0.0,Radius,2.64,12.2,9.19,0.0,1.0,19.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,"Sunday Paper, Radio, TV",82.61
Meat,Deli,Food,4.86,1.5552,3.0,Price Savers,S,M,1.0,High School Degree,Normal,Skilled Manual,N,1.0,$30K - $50K,0.0,Moms,1.62,10.2,8.19,1.0,1.0,27.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Sunday Paper, Radio",111.7
Cold Remedies,Health and Hygiene,Non-Consumable,5.66,2.0942,2.0,Wallet Savers,M,M,2.0,Bachelors Degree,Golden,Professional,Y,3.0,$70K - $90K,2.0,Hilltop,2.83,10.6,8.6,1.0,0.0,4.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio, TV",79.95
Pure Juice Beverages,Beverages,Drink,2.1,0.714,3.0,Price Cutters,M,M,2.0,Partial High School,Bronze,Manual,Y,3.0,$30K - $50K,1.0,Fabulous,0.7,10.8,8.8,0.0,0.0,19.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Cash Register Handout,145.52
Pizza,Frozen Foods,Food,10.17,3.1527,3.0,You Save Days,M,F,3.0,Graduate Degree,Bronze,Professional,Y,3.0,$70K - $90K,1.0,Carrington,3.39,18.8,17.7,1.0,0.0,17.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,TV,108.22
Cold Remedies,Health and Hygiene,Non-Consumable,5.66,2.547,2.0,Green Light Days,M,M,3.0,Partial High School,Bronze,Skilled Manual,Y,1.0,$10K - $30K,3.0,Hilltop,2.83,10.6,8.6,1.0,0.0,4.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Street Handout,133.42
Candy,Snacks,Food,4.77,1.6218,3.0,Super Duper Savers,S,F,4.0,Partial High School,Normal,Manual,N,1.0,$10K - $30K,0.0,Gulf Coast,1.59,21.8,19.7,1.0,0.0,10.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Daily Paper,100.91
Electrical,Household,Non-Consumable,9.04,4.52,4.0,Sales Days,M,F,1.0,Bachelors Degree,Bronze,Professional,Y,2.0,$70K - $90K,1.0,Red Wing,2.26,13.2,11.1,1.0,0.0,10.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Bulk Mail,116.74
Canned Soup,Canned Foods,Food,5.38,1.9368,2.0,Coupon Spectacular,S,M,2.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Pleasant,2.69,20.5,18.5,1.0,0.0,4.0,Small Grocery,Bellingham,WA,28206.0,22271.0,3561.0,2374.0,1.0,0.0,0.0,0.0,0.0,Daily Paper,90.58
Specialty,Produce,Food,4.62,1.8018,3.0,Pick Your Savings,M,F,4.0,High School Degree,Normal,Skilled Manual,Y,2.0,$30K - $50K,1.0,Tri-State,1.54,17.5,15.5,1.0,1.0,26.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Radio,147.17
Cold Remedies,Health and Hygiene,Non-Consumable,4.65,2.325,3.0,Double Your Savings,M,F,1.0,High School Degree,Bronze,Professional,Y,1.0,$130K - $150K,1.0,Faux Products,1.55,9.49,7.48,1.0,0.0,23.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,94.43
Vegetables,Produce,Food,5.44,2.448,4.0,Green Light Days,S,M,4.0,Bachelors Degree,Bronze,Professional,N,3.0,$50K - $70K,0.0,Tell Tale,1.36,13.5,11.5,0.0,1.0,19.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,139.19
Snack Foods,Snack Foods,Food,6.78,3.3222,3.0,Tip Top Savings,S,M,0.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,0.0,Nationeel,2.26,13.9,12.8,0.0,0.0,23.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",54.9
Starchy Foods,Starchy Foods,Food,5.46,1.7472,2.0,Dollar Cutters,M,F,4.0,Bachelors Degree,Silver,Professional,Y,2.0,$50K - $70K,4.0,Discover,2.73,14.5,13.5,1.0,0.0,27.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Bulk Mail,141.26
Dairy,Dairy,Drink,2.13,0.8307,3.0,Dollar Days,M,M,3.0,Bachelors Degree,Bronze,Professional,Y,3.0,$90K - $110K,1.0,Club,0.71,20.6,18.6,1.0,0.0,21.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Daily Paper, Radio",138.81
Pure Juice Beverages,Beverages,Drink,6.39,2.0448,3.0,Bag Stuffers,S,M,3.0,High School Degree,Bronze,Skilled Manual,Y,2.0,$30K - $50K,0.0,Excellent,2.13,12.6,10.6,1.0,0.0,2.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Jams and Jellies,Baking Goods,Food,11.88,5.1084,3.0,Super Duper Savers,S,M,1.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,0.0,Super,3.96,16.5,14.5,0.0,1.0,29.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Sunday Paper,69.65
Vegetables,Frozen Foods,Food,4.44,1.9536,2.0,Price Winners,S,F,1.0,Partial High School,Bronze,Skilled Manual,Y,4.0,$30K - $50K,0.0,Carrington,2.22,16.1,14.1,1.0,0.0,29.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Sunday Paper, Radio",122.51
Dairy,Dairy,Food,7.4,2.886,4.0,Big Time Discounts,M,M,4.0,High School Degree,Golden,Skilled Manual,Y,3.0,$30K - $50K,4.0,Booker,1.85,14.8,13.8,1.0,0.0,19.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,In-Store Coupon,59.4
Vegetables,Canned Foods,Food,5.28,2.376,4.0,Price Winners,S,F,3.0,Bachelors Degree,Bronze,Management,Y,1.0,$50K - $70K,0.0,Better,1.32,17.9,16.8,0.0,1.0,33.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,95.21
Packaged Vegetables,Produce,Food,6.68,2.0708,4.0,Pick Your Savings,M,F,0.0,Partial High School,Normal,Skilled Manual,Y,2.0,$10K - $30K,0.0,Tell Tale,1.67,18.1,16.1,0.0,0.0,30.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Sunday Paper,67.25
Hygiene,Health and Hygiene,Non-Consumable,2.76,0.966,3.0,Sales Days,S,M,1.0,High School Degree,Bronze,Management,N,2.0,$70K - $90K,0.0,Faux Products,0.92,20.6,19.6,0.0,0.0,31.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Daily Paper,62.71
Beer and Wine,Alcoholic Beverages,Drink,3.72,1.4508,2.0,Two Day Sale,M,F,2.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,1.0,Pearl,1.86,10.3,8.3,0.0,0.0,11.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Sunday Paper,126.88
Frozen Desserts,Frozen Foods,Food,3.52,1.1968,4.0,High Roller Savings,M,M,3.0,High School Degree,Golden,Manual,N,4.0,$30K - $50K,3.0,Imagine,0.88,12.2,9.19,0.0,0.0,30.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,"Daily Paper, Radio, TV",68.15
Vegetables,Canned Foods,Food,6.96,3.2712,4.0,Tip Top Savings,M,F,4.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,4.0,Just Right,1.74,8.66,6.65,1.0,0.0,32.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Bulk Mail,106.66
Electrical,Household,Non-Consumable,1.18,0.5074,2.0,Best Savings,M,M,0.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Cormorant,0.59,21.0,20.0,0.0,0.0,9.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",53.82
Bread,Baked Goods,Food,7.32,2.7084,4.0,Bye Bye Baby,S,M,3.0,Bachelors Degree,Bronze,Professional,Y,4.0,$130K - $150K,0.0,Sphinx,1.83,16.0,14.0,1.0,0.0,5.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Daily Paper, Radio, TV",58.16
Jams and Jellies,Baking Goods,Food,4.44,2.1756,3.0,Price Savers,M,M,4.0,Partial High School,Bronze,Manual,Y,4.0,$50K - $70K,1.0,BBB Best,1.48,7.65,4.65,1.0,0.0,5.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio",80.29
Canned Sardines,Canned Foods,Food,2.4,0.84,2.0,Bag Stuffers,S,F,4.0,Partial College,Bronze,Professional,Y,2.0,$50K - $70K,0.0,Better,1.2,11.8,8.8,0.0,1.0,7.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Frozen Entrees,Frozen Foods,Food,4.44,2.1312,4.0,Free For All,M,M,2.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,1.0,PigTail,1.11,18.4,16.3,1.0,0.0,17.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Daily Paper,52.06
Packaged Vegetables,Produce,Food,3.32,1.4608,2.0,Weekend Markdown,M,M,2.0,Bachelors Degree,Bronze,Management,N,2.0,$70K - $90K,1.0,Tri-State,1.66,13.6,11.6,0.0,0.0,23.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",69.63
Baking Goods,Baking Goods,Food,10.56,4.4352,3.0,Bye Bye Baby,M,M,1.0,Bachelors Degree,Bronze,Management,Y,3.0,$70K - $90K,0.0,CDR,3.52,21.4,19.3,1.0,0.0,8.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,90.58
Vegetables,Produce,Food,8.13,3.7398,3.0,Unbeatable Price Savers,S,F,4.0,Bachelors Degree,Bronze,Professional,N,2.0,$130K - $150K,0.0,Ebony,2.71,14.6,11.6,0.0,1.0,6.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,124.36
Vegetables,Frozen Foods,Food,3.81,1.6764,3.0,Dollar Days,M,M,3.0,Bachelors Degree,Bronze,Professional,Y,3.0,$90K - $110K,1.0,PigTail,1.27,10.2,8.19,1.0,1.0,17.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Daily Paper, Radio",138.81
Drinks,Beverages,Drink,3.7,1.591,2.0,Super Savers,M,M,3.0,High School Degree,Golden,Manual,Y,2.0,$30K - $50K,3.0,Excellent,1.85,9.26,7.26,0.0,1.0,22.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio",64.99
Frozen Desserts,Frozen Foods,Food,3.52,1.3376,4.0,Bye Bye Baby,S,F,1.0,Partial College,Bronze,Professional,Y,3.0,$50K - $70K,0.0,Imagine,0.88,12.2,9.19,0.0,0.0,30.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Daily Paper, Radio, TV",58.16
Vegetables,Frozen Foods,Food,2.96,1.3024,2.0,Price Slashers,M,F,0.0,Bachelors Degree,Bronze,Professional,Y,2.0,$50K - $70K,0.0,Carrington,1.48,9.18,8.18,0.0,0.0,1.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Sunday Paper,67.2
Baking Goods,Baking Goods,Food,5.46,2.1294,3.0,Saving Days,S,M,1.0,Bachelors Degree,Bronze,Professional,N,1.0,$50K - $70K,0.0,Landslide,1.82,21.1,20.1,1.0,0.0,20.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Street Handout,67.31
Snack Foods,Snack Foods,Food,11.05,4.641,5.0,Unbeatable Price Savers,M,M,3.0,High School Degree,Golden,Manual,Y,4.0,$30K - $50K,3.0,Best Choice,2.21,16.5,14.5,1.0,1.0,5.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,124.36
Baking Goods,Baking Goods,Food,4.05,2.025,3.0,Price Savers,S,M,1.0,High School Degree,Bronze,Skilled Manual,N,4.0,$30K - $50K,0.0,BBB Best,1.35,16.1,14.1,0.0,0.0,30.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,62.27
Starchy Foods,Starchy Foods,Food,7.68,3.2256,3.0,Double Down Sale,M,F,4.0,Bachelors Degree,Golden,Professional,Y,3.0,$70K - $90K,4.0,Colossal,2.56,8.6,6.6,0.0,1.0,10.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Street Handout,59.19
Jams and Jellies,Baking Goods,Food,2.97,1.3662,3.0,Sale Winners,S,M,1.0,High School Degree,Bronze,Skilled Manual,N,3.0,$30K - $50K,0.0,Super,0.99,7.71,5.71,0.0,1.0,22.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,In-Store Coupon,147.35
Kitchen Products,Household,Non-Consumable,3.42,1.1628,2.0,Super Savers,S,F,4.0,High School Degree,Bronze,Manual,Y,2.0,$30K - $50K,0.0,Denny,1.71,10.1,8.1,0.0,0.0,14.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio",64.99
Meat,Deli,Food,9.6,3.456,3.0,Price Slashers,M,M,1.0,Bachelors Degree,Bronze,Management,Y,2.0,$70K - $90K,1.0,Lake,3.2,6.66,5.65,0.0,1.0,6.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,76.98
Electrical,Household,Non-Consumable,10.6,3.816,4.0,You Save Days,S,M,4.0,Partial High School,Bronze,Skilled Manual,N,2.0,$30K - $50K,0.0,Sunset,2.65,15.1,12.1,0.0,0.0,5.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Bulk Mail,131.81
Cleaning Supplies,Household,Non-Consumable,3.48,1.74,3.0,Best Savings,M,M,2.0,Bachelors Degree,Normal,Professional,Y,1.0,$10K - $30K,1.0,Sunset,1.16,20.9,19.8,1.0,0.0,26.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Street Handout,114.01
Paper Products,Household,Non-Consumable,3.36,1.4448,3.0,Cash Register Lottery,S,F,2.0,Partial High School,Silver,Skilled Manual,N,2.0,$30K - $50K,0.0,Cormorant,1.12,21.1,20.1,1.0,0.0,26.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",59.86
Jams and Jellies,Baking Goods,Food,2.96,1.4208,2.0,Super Duper Savers,S,F,1.0,High School Degree,Bronze,Management,Y,3.0,$110K - $130K,0.0,Super,1.48,18.2,15.2,0.0,1.0,9.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Sunday Paper,69.65
Bathroom Products,Health and Hygiene,Non-Consumable,10.86,4.4526,3.0,Unbeatable Price Savers,S,F,3.0,Partial High School,Bronze,Professional,N,2.0,$130K - $150K,0.0,Hilltop,3.62,19.3,16.2,0.0,0.0,32.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",137.77
Jams and Jellies,Baking Goods,Food,2.76,1.3248,2.0,Savings Galore,S,M,3.0,High School Degree,Bronze,Manual,N,4.0,$30K - $50K,0.0,Plato,1.38,14.9,11.8,1.0,0.0,5.0,Small Grocery,San Francisco,CA,22478.0,15321.0,4294.0,2863.0,1.0,0.0,0.0,0.0,0.0,Cash Register Handout,121.95
Vegetables,Produce,Food,5.43,2.4435,3.0,Price Savers,M,F,1.0,Bachelors Degree,Bronze,Professional,N,1.0,$50K - $70K,0.0,Tell Tale,1.81,20.9,17.8,1.0,1.0,35.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio",80.29
Snack Foods,Snack Foods,Food,14.64,5.856,4.0,Mystery Sale,S,M,1.0,Partial College,Bronze,Skilled Manual,N,2.0,$30K - $50K,0.0,Best Choice,3.66,15.2,13.1,0.0,0.0,36.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",68.84
Hardware,Household,Non-Consumable,1.64,0.7544,2.0,Price Slashers,S,F,2.0,Bachelors Degree,Golden,Professional,N,3.0,$90K - $110K,0.0,Red Wing,0.82,9.47,8.47,1.0,0.0,10.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio, TV",54.11
Beer and Wine,Alcoholic Beverages,Drink,5.1,1.836,3.0,One Day Sale,S,M,3.0,High School Degree,Bronze,Skilled Manual,Y,2.0,$30K - $50K,0.0,Portsmouth,1.7,11.2,9.19,1.0,0.0,28.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",85.88
Vegetables,Canned Foods,Food,2.36,0.7788,2.0,Double Down Sale,M,F,1.0,Partial High School,Normal,Skilled Manual,N,2.0,$10K - $30K,1.0,Pleasant,1.18,10.0,8.0,0.0,0.0,27.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Street Handout,59.19
Vegetables,Frozen Foods,Food,4.56,1.5048,3.0,Price Destroyers,S,M,1.0,Partial College,Silver,Manual,Y,2.0,$30K - $50K,0.0,Carrington,1.52,9.89,7.89,1.0,0.0,19.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",62.26
Seafood,Seafood,Food,3.4,1.598,2.0,Unbeatable Price Savers,S,F,1.0,Partial High School,Normal,Manual,Y,2.0,$10K - $30K,0.0,Dual City,1.7,12.7,10.6,1.0,0.0,3.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,124.36
Jams and Jellies,Baking Goods,Food,3.96,1.2672,4.0,Price Slashers,S,F,2.0,Bachelors Degree,Bronze,Management,Y,1.0,$50K - $70K,0.0,Super,0.99,7.71,5.71,0.0,1.0,22.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,76.98
Jams and Jellies,Baking Goods,Food,5.04,1.5624,3.0,Price Slashers,S,M,1.0,Bachelors Degree,Bronze,Professional,N,2.0,$110K - $130K,0.0,Super,1.68,16.6,14.6,0.0,0.0,27.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio, TV",54.11
Paper Products,Household,Non-Consumable,4.48,1.3888,4.0,Tip Top Savings,S,F,2.0,Partial High School,Bronze,Skilled Manual,N,4.0,$30K - $50K,0.0,Cormorant,1.12,21.1,20.1,1.0,0.0,26.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Street Handout,142.58
Baking Goods,Baking Goods,Food,4.96,1.9344,2.0,You Save Days,S,F,2.0,High School Degree,Bronze,Professional,Y,2.0,$70K - $90K,0.0,CDR,2.48,20.4,18.3,1.0,1.0,25.0,Small Grocery,San Francisco,CA,22478.0,15321.0,4294.0,2863.0,1.0,0.0,0.0,0.0,0.0,In-Store Coupon,95.25
Fruit,Produce,Food,11.8,4.956,4.0,Tip Top Savings,M,F,4.0,High School Degree,Golden,Skilled Manual,Y,4.0,$30K - $50K,3.0,Tri-State,2.95,15.2,13.1,0.0,1.0,27.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Bulk Mail,106.66
Bathroom Products,Health and Hygiene,Non-Consumable,10.65,5.112,3.0,Double Your Savings,S,M,1.0,Bachelors Degree,Bronze,Management,Y,3.0,$50K - $70K,0.0,Hilltop,3.55,18.6,16.6,1.0,0.0,14.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,94.43
Meat,Deli,Food,9.32,2.8892,4.0,I Cant Believe It Sale,M,F,3.0,High School Degree,Silver,Management,Y,3.0,$90K - $110K,0.0,Cutting Edge,2.33,6.86,4.86,1.0,1.0,28.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,Product Attachment,69.47
Meat,Deli,Food,6.12,2.754,4.0,High Roller Savings,M,F,1.0,High School Degree,Bronze,Professional,Y,3.0,$70K - $90K,1.0,Lake,1.53,12.3,11.3,0.0,1.0,26.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,101.84
Vegetables,Produce,Food,5.6,2.632,2.0,Double Down Sale,M,F,2.0,High School Degree,Bronze,Professional,Y,3.0,$70K - $90K,2.0,Tri-State,2.8,12.7,10.6,0.0,0.0,19.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,TV,95.74
Meat,Deli,Food,3.14,0.942,2.0,Dollar Days,M,M,1.0,Partial High School,Normal,Skilled Manual,N,0.0,$10K - $30K,0.0,Red Spade,1.57,6.13,5.13,0.0,1.0,5.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Daily Paper, Radio",138.81
